LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,Concentration,ADC
1,0.5878396694439489,0.5607854120621751,0.4797852218788624,0.8672279117149885,0.0102929806879124,48,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,0.29,
2,0.6910236178901906,0.6710573432343051,0.5304453767808359,0.8980094496119184,0.0072890932640985,48,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,0.6,
3,1.0362325924700595,0.9844477217871666,0.8647017191143572,1.6844031218634958,0.0303079378977153,47,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,1.04,
4,1.4625902684298977,1.432743499864201,1.251859241108627,1.869486620422438,0.0207259171637688,48,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,1.64,
5,2.0658211700395777,2.0178194119978907,1.7795842931035288,3.0030822500470093,0.0554719429093392,53,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,2.52,
6,2.856794173152275,2.8228240142389507,2.548664285138647,3.3418106177658857,0.0338600052636475,59,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,3.68,
7,3.7625824410754936,3.7542342735213294,3.6412322299053583,3.906537235908432,0.0054555259830362,36,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,5.43,
8,4.94589098862761,4.944975278176103,4.7782020868373,5.103661290632916,0.0055569444152552,40,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,7.74,
9,7.605760510528999,7.6187400909703324,7.329312536853327,7.7804527973236,0.0122445210088136,44,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,11.3,
10,11.18967846202353,11.244765884233754,9.919005097044868,11.649976763883384,0.0996246923880474,39,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,16.5,
11,15.197529183990344,15.414016160841252,13.43396143320835,16.463463543519378,0.5206157588128353,40,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,23.3,
12,21.223227379540894,21.396578067785512,18.206804009498573,24.07959785565596,1.7223519291731602,37,20240708,P0009,full,R1,T1mimics_fix,1,CGv1,32.7,
