Unnamed: 0,Subject,Session,n_black,w0,SW,Temperature
0,P0003,20230927164642,1.0,2.730387,8.6.0,23
1,P0003,20230928180538,1.0,2.729409,8.6.0,23
2,P0003,20231003162834,1.0,2.727851,8.6.0,23
3,P0003,20231004161510,2.0,2.730638,8.6.0,22
4,P0003,20231005183315,2.0,2.729305,8.6.0,22
5,P0003,20231009170558,2.0,2.732057,8.6.0,22
6,P0003,20231010170450,2.0,2.730046,8.6.0,22
7,P0003,20231011155330,2.0,2.730298,8.6.0,22
8,P0003,20231016145010,4.0,2.73445,8.6.0,20
9,P0003,20231017153058,2.0,2.732003,8.6.0,22
10,P0003,20231018144455,2.0,2.730935,8.6.0,22
11,P0003,20231019140413,2.0,2.731209,8.6.0,22
12,P0003,20231023143153,2.0,2.731002,8.6.0,22
13,P0003,20231024194752,1.0,2.728854,8.6.0,23
14,P0003,20231030143250,6.0,2.740577,8.6.0,18
15,P0003,20231031150517,6.0,2.738115,8.6.0,18
16,P0003,20231101144234,5.0,2.737103,8.6.0,19
17,P0003,20231102152114,4.0,2.734399,8.6.0,20
18,P0003,20231106164746,3.0,2.733063,8.6.0,21
19,P0003,20240226191914,3.0,2.731724,8.6.1,21
20,P0003,20240227143405,1.0,2.729949,8.6.1,23
21,P0003,20240228144738,3.0,2.733054,8.6.1,21
22,P0004,20230629100751,5.0,2.707364,rc8.7.0_Beta1,19
23,P0004,20230705075534,5.0,2.707535,rc8.7.0_Beta1,19
24,P0004,20230706122347,5.0,2.706617,rc8.7.0_Beta1,19
25,P0004,20230710092716,5.0,2.707564,rc8.7.0_Beta1,19
26,P0004,20230717150819,5.0,2.707216,rc8.7.0_Beta1,19
27,P0004,20230814132223,5.0,2.707297,rc8.7.0_Beta1,19
28,P0004,20230821081945,5.0,2.707282,rc8.7.0_Beta1,19
29,P0004,20230823104750,5.0,2.706744,rc8.7.0_Beta1,19
30,P0004,20230824084610,4.0,2.706353,rc8.7.0_Beta1,20
31,P0004,20230825102439,4.0,2.706146,rc8.7.0_Beta1,20
32,P0004,20230828083112,5.0,2.70693,rc8.7.0_Beta1,19
33,P0004,20230830085431,5.0,2.706878,rc8.7.0_Beta1,19
34,P0004,20230831083846,4.0,2.70462,rc8.7.0_Beta1,20
35,P0004,20230901085403,4.0,2.705915,rc8.7.0_Beta1,20
36,P0004,20240115085627,4.0,2.706201,rc8.7.0_Beta1,20
37,P0004,20240117095633,4.0,2.705478,rc8.7.0_Beta1,20
38,P0004,20240118081140,4.0,2.705237,rc8.7.0_Beta1,20
39,P0004,20240119083620,4.0,2.705944,rc8.7.0_Beta1,20
40,P0004,20240226100203,5.0,2.706828,rc8.7.0_Beta1,19
41,P0004,20240227075502,5.0,2.706709,rc8.7.0_Beta1,19
42,P0004,20240229082002,4.0,2.70629,rc8.7.0_Beta1,20
43,P0007,20231107095915,4.0,2.699332,rc8.7.0_Beta1,20
44,P0007,20231107101500,3.0,2.699181,rc8.7.0_Beta1,21
45,P0008,20231101135602,1.0,2.703472,rc8.7.0_Beta1,23
46,P0008,20231101140743,1.0,2.703299,rc8.7.0_Beta1,23
47,P0008,20231101141503,1.0,2.703096,rc8.7.0_Beta1,23
48,P0008,20231101142916,1.0,2.702895,rc8.7.0_Beta1,23
49,P0008,20231101145303,1.0,2.702639,rc8.7.0_Beta1,23
50,P0008,20231101145908,1.0,2.702323,rc8.7.0_Beta1,23
51,P0008,20240312080322,4.0,2.701667,rc8.7.0_Beta1,20
52,P0008,20240313071948,4.0,2.701776,rc8.7.0_Beta1,20
53,P0008,20240314080347,4.0,2.701683,rc8.7.0_Beta1,20
54,P0009,20230619164159,2.0,2.70322,rc8.6.0,22
55,P0009,20230621095657,3.0,2.70527,rc8.6.0,21
56,P0009,20230622093334,3.0,2.705301,rc8.6.0,21
57,P0009,20230623094531,3.0,2.705791,rc8.6.0,21
58,P0009,20230626114009,2.0,2.703784,rc8.6.0,22
59,P0009,20230628122618,4.0,2.706303,rc8.6.0,20
60,P0009,20230629175409,4.0,2.70667,rc8.6.0,20
61,P0009,20230630093957,4.0,2.706716,rc8.6.0,20
62,P0009,20230703094159,1.0,2.701197,rc8.6.0,23
63,P0009,20230704162244,3.0,2.705902,rc8.6.0,21
64,P0009,20230705154338,3.0,2.704358,rc8.6.0,21
65,P0009,20230707084743,3.0,2.704135,rc8.6.0,21
66,P0009,20230710092545,3.0,2.704373,rc8.6.0,21
67,P0009,20230719095652,3.0,2.705845,rc8.7.0_Beta1,21
68,P0009,20230721094001,4.0,2.706637,rc8.7.0_Beta1,20
69,P0009,20230724125055,4.0,2.706647,rc8.7.0_Beta1,20
70,P0009,20230725094314,3.0,2.70478,rc8.7.0_Beta1,21
71,P0009,20230726093400,3.0,2.70609,rc8.7.0_Beta1,21
72,P0009,20230727151503,3.0,2.704478,rc8.7.0_Beta1,21
73,P0009,20230731131816,5.0,2.707918,rc8.7.0_Beta1,19
74,P0009,20230807150155,4.0,2.706551,rc8.7.0_Beta1,20
75,P0009,20230809093310,4.0,2.707433,rc8.7.0_Beta1,20
76,P0009,20230905093527,4.0,2.707329,rc8.7.0_Beta1,20
77,P0009,20230907092841,3.0,2.705517,rc8.7.0_Beta1,21
78,P0009,20230911161444,3.0,2.70543,rc8.7.0_Beta1,21
79,P0009,20230912092018,4.0,2.706852,rc8.7.0_Beta1,20
80,P0009,20230918154853,5.0,2.707584,rc8.7.0_Beta1,19
81,P0009,20231003162058,5.0,2.70807,rc8.7.0_Beta1,19
82,P0009,20231004142303,6.0,2.709822,rc8.7.0_Beta1,18
83,P0009,20231016143746,6.0,2.708852,rc8.7.0_Beta1,18
84,P0009,20231019083153,3.0,2.70527,rc8.7.0_Beta1,21
85,P0009,20231031102232,4.0,2.708518,rc8.7.0_Beta1,20
86,P0009,20231116145830,4.0,2.708026,rc8.7.0_Beta1,20
87,P0009,20231117093757,5.0,2.707643,rc8.7.0_Beta1,19
88,P0009,20240311115251,5.0,2.708284,rc8.7.0_Beta1,19
89,P0009,20240312093459,5.0,2.707584,rc8.7.0_Beta1,19
90,P0009,20240313083821,4.0,2.707352,rc8.7.0_Beta1,20
91,P0010,20240304092435,2.0,2.718053,rc8.7.0_Beta1,22
92,P0010,20240305091810,2.0,2.717719,rc8.7.0_Beta1,22
93,P0010,20240307091945,2.0,2.718958,rc8.7.0_Beta1,22
94,P0012,20230915095751,6.0,2.700332,8.6.1,18
95,P0012,20231012090832,4.0,2.695501,8.6.1,20
96,P0012,20231019082834,2.0,2.693028,8.6.1,22
97,P0012,20231102072526,3.0,2.693102,8.6.1,21
98,P0012,20231110110115,3.0,2.69311,8.6.1,21
99,P0012,20231207100537,2.0,2.690345,8.6.1,22
100,P0012,20231213082836,3.0,2.696722,8.6.1,21
101,P0012,20231221071744,2.0,2.692649,8.6.1,22
102,P0012,20240206101312,1.0,2.689189,8.6.1,23
103,P0012,20240208105104,1.0,2.688682,8.6.1,23
104,P0012,20240403093142,2.0,2.693759,rc8.8.0_Beta1,22
105,P0012,20240404082136,2.0,2.693187,rc8.8.0_Beta1,22
106,P0012,20240405091422,2.0,2.693912,rc8.8.0_Beta1,22
107,P0013,20230621132858,1.0,2.699513,rc8.6.0,23
108,P0013,20240408085308,2.0,2.709198,rc8.7.0_Beta1,22
109,P0013,20240409080856,2.0,2.70822,rc8.7.0_Beta1,22
110,P0013,20240410081030,2.0,2.709776,rc8.7.0_Beta1,22
111,P0014,20230913105152,2.0,2.721602,rc8.6.0,22
112,P0014,20230926101300,2.0,2.71651,rc8.6.0,22
113,P0014,20231003103530,2.0,2.719428,rc8.6.0,22
114,P0014,20240304152521,2.0,2.719056,rc8.6.0,22
115,P0014,20240305101203,2.0,2.717195,rc8.6.0,22
116,P0014,20240306085139,2.0,2.718459,rc8.6.0,22
117,P0017,20240209102454000000,2.0,2.721833,rc8.7.0_Beta1,22
118,P0017,20240212104820000000,2.0,2.719771,rc8.7.0_Beta1,22
119,P0017,20240213101206000000,1.0,2.718367,rc8.7.0_Beta1,23
120,P0017,20240214101745000000,1.0,2.718769,rc8.7.0_Beta1,23
121,P0017,20240215101406,1.0,2.718184,8.7.0,23
122,P0020,20240320161128,4.0,2.729971,8.7.0,20
123,P0020,20240321111058,4.0,2.729149,8.7.0,20
124,P0020,20240322121526,3.0,2.723318,8.7.0,21
125,P0020,20240325160454,4.0,2.727226,8.7.0,20
126,P0020,20240326150650,4.0,2.726557,8.7.0,20
127,P0020,20240327093628,4.0,2.727298,8.7.0,20
128,P0020,20240328100559,2.0,2.723346,8.7.0,22
129,P0020,20240402115656,0.0,2.718197,8.7.0,24
130,P0020,20240403144347,2.0,2.726969,8.7.0,22
131,P0020,20240409110436,0.0,2.720811,8.7.0,24
132,P0020,20240410085959,1.0,2.724617,8.7.0,23
133,P0020,20240412105043,4.0,2.729102,8.7.0,20
134,P0020,20240416152638,4.0,2.728704,8.7.0,20
135,P0020,20240417153058,4.0,2.727793,8.7.0,20
136,P0020,20240418144739,4.0,2.728025,8.7.0,20
137,P0020,20240419161029,4.0,2.728541,8.7.0,20
138,P0020,20240422110548,1.0,2.719205,8.7.0,23
139,P0023,20230913105802,0.0,2.685819,rc8.6.0,24
140,P0023,20240319152741,0.0,2.677834,rc8.6.0,24
141,P0023,20240320154616,0.0,2.676767,rc8.6.0,24
142,P0023,20240321103219,0.0,2.678024,rc8.6.0,24
143,P0027,20231012161014,0.0,2.729932,8.6.1,24
144,P0027,20231107113643,1.0,2.733207,8.6.1,23
145,P0027,20240304095313,0.0,2.730173,8.6.1,24
146,P0027,20240305092247,0.0,2.730821,8.6.1,24
147,P0027,20240306132526,1.0,2.731699,8.6.1,23
148,P0027,20240307092215,1.0,2.731137,8.6.1,23
149,P0027,20240311092901,1.0,2.731967,8.6.1,23
150,P0027,20240313101045,0.0,2.729346,8.6.1,24
151,P0027,20240320141045,0.0,2.728932,8.6.1,24
152,P0027,20240321133021,0.0,2.729242,8.6.1,24
153,P0027,20240325091522,0.0,2.729497,8.6.1,24
