,Mimic,Content,Conc. [mM],T1 [s],T2 [s]
0,T2 1,MnCl2,0.0113,1.4676172733306885,0.5887763757258654
1,T2 2,MnCl2,0.0181,1.5240545272827148,0.6766173151880502
2,T2 3,MnCl2,0.0282,1.0159800052642822,0.459349322207272
3,T2 4,MnCl2,0.0434,0.7680808901786804,0.3390003185346723
4,T2 5,MnCl2,0.0673,0.5231823623180389,0.2560010056570172
5,T2 6,MnCl2,0.0934,0.4492039084434509,0.2283345680311322
6,T2 7,MnCl2,0.1353,0.3363519757986069,0.1798318445682525
7,T2 8,MnCl2,0.193,0.2438409477472305,0.1314155787229537
8,T2 9,MnCl2,0.2768,0.1646448969841003,0.0954492098093032
9,T2 10,MnCl2,0.4276,0.1077224016189575,0.0636328065395355
10,T2 11,MnCl2,0.5555,0.0818809457123279,0.049799587726593
11,T2 12,MnCl2,0.7902,0.0562920570373535,0.0345830470323562
12,T2 13,MnCl2,1.1274,0.0422889254987239,0.0269747766852378
13,T2 14,MnCl2,1.5996,0.0289284754544496,0.1965181647613644
