,Mimic,Content,Conc. [mM],T1 [s],T2 [s]
0,T1 1,NiCl2,0.29,1.6790440082550049,0.9401833623833956
1,T1 2,NiCl2,0.6,1.440443754196167,0.8419242800027132
2,T1 3,NiCl2,1.04,1.0186679363250732,0.7533916795998812
3,T1 4,NiCl2,1.64,0.7416789829730988,0.5630984633043409
4,T1 5,NiCl2,2.52,0.5235018134117126,0.4309912236407399
5,T1 6,NiCl2,3.68,0.3832016587257385,0.337616996653378
6,T1 7,NiCl2,5.43,0.2792554497718811,0.2615342931821942
7,T1 8,NiCl2,7.74,0.1998360008001327,0.1874401149153709
8,T1 9,NiCl2,11.3,0.140826977789402,0.1410988318920135
9,T1 10,NiCl2,16.5,0.0974506437778472,0.099599175453186
10,T1 11,NiCl2,23.3,0.0691410601139068,0.0760827034711837
11,T1 12,NiCl2,32.7,0.0494619905948638,0.05533287525177
12,T1 13,NiCl2,46.0,0.0339189227670431,0.0373496907949447
13,T1 14,NiCl2,65.3,0.0244230655953288,0.027666437625885
