LabelValue,Mean,Min,Max,Variance,Subject,Session,Run,Seg,SoftwareVersions
1.0,1.7487887511084166,122.0,3734.0,672742.573720919,P0003,20230927164642,1,T1,8.6.0
2.0,1.91450735534982,815.0,3919.0,399401.3219083548,P0003,20230927164642,1,T1,8.6.0
3.0,1.8916295470665458,1264.0,3653.0,281604.2493719521,P0003,20230927164642,1,T1,8.6.0
4.0,1.6571461152908322,309.0,3417.0,444708.78554581385,P0003,20230927164642,1,T1,8.6.0
5.0,1.639578204348714,870.0,3829.0,331983.7826659514,P0003,20230927164642,1,T1,8.6.0
6.0,1.5329026192744168,964.0,3174.0,225615.1783216779,P0003,20230927164642,1,T1,8.6.0
7.0,1.2131934246160843,153.0,2571.0,193386.25069793427,P0003,20230927164642,1,T1,8.6.0
8.0,0.854788789204556,19.0,1840.0,132097.3735804346,P0003,20230927164642,1,T1,8.6.0
9.0,0.6533753247045241,32.0,1334.0,44315.67434994299,P0003,20230927164642,1,T1,8.6.0
10.0,0.333104705997148,132.0,864.0,18797.014308060378,P0003,20230927164642,1,T1,8.6.0
11.0,0.184728646166171,62.0,594.0,13528.689311594202,P0003,20230927164642,1,T1,8.6.0
12.0,0.1379193965259801,70.0,513.0,9448.499543577484,P0003,20230927164642,1,T1,8.6.0
13.0,0.10428385037026783,16.0,578.0,8583.592010832768,P0003,20230927164642,1,T1,8.6.0
14.0,0.1340532699765236,22.0,647.0,23805.43981743099,P0003,20230927164642,1,T1,8.6.0
1.0,2.134572590375207,2100.0,3284.0,57847.563311688464,P0003,20230927164642,1,T2,8.6.0
2.0,2.131315728552776,2261.0,3337.0,74016.03123399903,P0003,20230927164642,1,T2,8.6.0
3.0,1.9055681014800823,1983.0,3030.0,44830.585765488686,P0003,20230927164642,1,T2,8.6.0
4.0,1.786642949369639,1795.0,2751.0,49866.38149350665,P0003,20230927164642,1,T2,8.6.0
5.0,1.7371504613745479,1734.0,2805.0,74462.3179723505,P0003,20230927164642,1,T2,8.6.0
6.0,1.538577277421615,1701.0,2565.0,44655.96727060193,P0003,20230927164642,1,T2,8.6.0
7.0,1.1568728624789015,1310.0,1972.0,17636.825148809523,P0003,20230927164642,1,T2,8.6.0
8.0,0.7510746855394065,828.0,1258.0,12015.896057347616,P0003,20230927164642,1,T2,8.6.0
9.0,0.3198264237761892,260.0,740.0,8796.091141833083,P0003,20230927164642,1,T2,8.6.0
10.0,0.10825548849676828,33.0,315.0,6258.636612021857,P0003,20230927164642,1,T2,8.6.0
11.0,0.0823512132388766,41.0,284.0,3283.097175141242,P0003,20230927164642,1,T2,8.6.0
12.0,0.11682250733249742,44.0,338.0,4468.458211572179,P0003,20230927164642,1,T2,8.6.0
13.0,0.1191675932659276,62.0,433.0,9195.38585858586,P0003,20230927164642,1,T2,8.6.0
14.0,0.11180211729756388,45.0,352.0,7111.333333333333,P0003,20230927164642,1,T2,8.6.0
1.0,1.7391545192715705,85.0,3536.0,602289.0547724726,P0003,20230927164642,2,T1,8.6.0
2.0,1.9074367988838532,767.0,3665.0,389175.1038415086,P0003,20230927164642,2,T1,8.6.0
3.0,1.9146268038923777,1108.0,3543.0,249199.2856755826,P0003,20230927164642,2,T1,8.6.0
4.0,1.6653591051817458,303.0,3179.0,385627.7017894687,P0003,20230927164642,2,T1,8.6.0
5.0,1.648316431187292,813.0,3372.0,290110.75562780176,P0003,20230927164642,2,T1,8.6.0
6.0,1.5319010125536796,939.0,3015.0,206974.3179869107,P0003,20230927164642,2,T1,8.6.0
7.0,1.2139936479947608,217.0,2298.0,166837.92858230526,P0003,20230927164642,2,T1,8.6.0
8.0,0.8550476470415692,28.0,1678.0,118726.77004163332,P0003,20230927164642,2,T1,8.6.0
9.0,0.659823129389453,119.0,1288.0,43400.37581848632,P0003,20230927164642,2,T1,8.6.0
10.0,0.3248435199793434,98.0,715.0,14282.388387927856,P0003,20230927164642,2,T1,8.6.0
11.0,0.18312282062621063,59.0,542.0,14291.655411255408,P0003,20230927164642,2,T1,8.6.0
12.0,0.12486462041666853,50.0,562.0,6788.4139319552105,P0003,20230927164642,2,T1,8.6.0
13.0,0.1016948072973243,13.0,421.0,6751.695960279847,P0003,20230927164642,2,T1,8.6.0
14.0,0.12981513628415162,38.0,683.0,20786.193686846105,P0003,20230927164642,2,T1,8.6.0
1.0,2.1626544280161877,2070.0,3207.0,44074.29480519512,P0003,20230927164642,2,T2,8.6.0
2.0,2.133093451010181,2018.0,3213.0,79638.96351136926,P0003,20230927164642,2,T2,8.6.0
3.0,1.9081092816170324,1807.0,2730.0,36712.45826932884,P0003,20230927164642,2,T2,8.6.0
4.0,1.752317781745457,1661.0,2776.0,51024.68279220733,P0003,20230927164642,2,T2,8.6.0
5.0,1.6882365616422683,1415.0,2531.0,63001.90220174097,P0003,20230927164642,2,T2,8.6.0
6.0,1.54569436411977,1530.0,2255.0,39026.41666666683,P0003,20230927164642,2,T2,8.6.0
7.0,1.1632366188575671,1194.0,1881.0,14865.123399897448,P0003,20230927164642,2,T2,8.6.0
8.0,0.7485998856671324,731.0,1173.0,6711.465891062969,P0003,20230927164642,2,T2,8.6.0
9.0,0.32529342901602837,268.0,732.0,9301.598360655738,P0003,20230927164642,2,T2,8.6.0
10.0,0.12928402102734682,48.0,425.0,8369.890710382513,P0003,20230927164642,2,T2,8.6.0
11.0,0.09163033660631296,40.0,211.0,2684.3699453551903,P0003,20230927164642,2,T2,8.6.0
12.0,0.11458464275773679,47.0,295.0,3763.670903954801,P0003,20230927164642,2,T2,8.6.0
13.0,0.11775148693652866,45.0,346.0,7860.217508417507,P0003,20230927164642,2,T2,8.6.0
14.0,0.1195137109804524,55.0,335.0,6687.530671602325,P0003,20230927164642,2,T2,8.6.0
1.0,1.7299888170665663,151.0,3665.0,696819.0123635666,P0003,20230928180538,1,T1,8.6.0
2.0,1.9184269475350093,763.0,3809.0,449233.20250371576,P0003,20230928180538,1,T1,8.6.0
3.0,1.910134732041042,1197.0,3719.0,292497.9557537685,P0003,20230928180538,1,T1,8.6.0
4.0,1.662876813123477,355.0,3463.0,455955.5220039589,P0003,20230928180538,1,T1,8.6.0
5.0,1.6431326695484043,800.0,3644.0,333120.848015076,P0003,20230928180538,1,T1,8.6.0
6.0,1.5227142651931083,984.0,3152.0,231945.87901278696,P0003,20230928180538,1,T1,8.6.0
7.0,1.2150611734522438,281.0,2609.0,202753.2771159228,P0003,20230928180538,1,T1,8.6.0
8.0,0.8592050164051156,17.0,1804.0,130753.6500372954,P0003,20230928180538,1,T1,8.6.0
9.0,0.6547217676337588,101.0,1315.0,43244.32005594124,P0003,20230928180538,1,T1,8.6.0
10.0,0.32877374872641163,167.0,821.0,16876.78092021951,P0003,20230928180538,1,T1,8.6.0
11.0,0.17713411640501994,27.0,623.0,14497.935636731689,P0003,20230928180538,1,T1,8.6.0
12.0,0.1279884429766306,16.0,565.0,9106.711070159276,P0003,20230928180538,1,T1,8.6.0
13.0,0.11316064663786801,25.0,561.0,8326.687360278993,P0003,20230928180538,1,T1,8.6.0
14.0,0.13668084325534394,35.0,703.0,21584.089421443263,P0003,20230928180538,1,T1,8.6.0
1.0,2.1413757840390613,2242.0,3292.0,49219.99461279423,P0003,20230928180538,1,T2,8.6.0
2.0,2.119068390557487,2143.0,3385.0,83215.89912954453,P0003,20230928180538,1,T2,8.6.0
3.0,1.903491674396,1882.0,2951.0,47776.573476702935,P0003,20230928180538,1,T2,8.6.0
4.0,1.7948149821154709,1845.0,2925.0,64794.10779220733,P0003,20230928180538,1,T2,8.6.0
5.0,1.703088417697629,1637.0,2856.0,84209.76943416185,P0003,20230928180538,1,T2,8.6.0
6.0,1.5344959770506705,1662.0,2494.0,51748.46464056085,P0003,20230928180538,1,T2,8.6.0
7.0,1.1728940525090341,1277.0,1982.0,15137.944055944225,P0003,20230928180538,1,T2,8.6.0
8.0,0.7502291257244049,829.0,1281.0,14465.44736842106,P0003,20230928180538,1,T2,8.6.0
